category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
스킨/토너,1,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198874&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=22,닥터지,닥터지 더모이스처 배리어 D 리퀴드 토너,100ml,31000,200ml,,
스킨/토너,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209908&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=23,제로이드,제로이드 인텐시브 크림 토너,,32000,200ml,,
스킨/토너,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000178075&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=24,헤라,헤라 옴므 파워부스팅 토너,,65000,150ML,,
스킨/토너,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000210415&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=25,헤브블루,헤브블루 살몬 PDRN 센텔라 토너   (,,41900,200ml,,
스킨/토너,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211137&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=26,아누아,아누아 어성초 77 수딩 토너,350ml 리필팩,49000,350ml,,
스킨/토너,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219435&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=27,헤이네이처,헤이네이처 어성초 스킨 토너,어성초 마스크 2매,25000,150ml,,
스킨/토너,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199824&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=28,랩시리즈,랩시리즈 데일리 레스큐 워터 로션,,62000,200ml,,
스킨/토너,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165355&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=29,AHC,AHC 허브솔루션 위치하젤 토너,,15000,500ml,,
스킨/토너,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206958&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=30,아비브,아비브 부활초 파하 토너 스킨부스터,30ml,23000,200ml,,
스킨/토너,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199405&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=31,마녀공장,마녀공장 판테토인 에센스 토너,,21000,200ml,,
스킨/토너,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000154506&dispCatNo=100000100010013&t_page=카테고리관&t_click=스킨/토너_전체__상품상세&t_number=32,원씽,원씽 어성초 추출물,,11500,150ml,,
