category,page,index,link,brand_name,product_name_clean,gift,price,volume,bottle_type,ingredients
미스트/오일,1,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016694&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=23,아벤느,아벤느 오 떼르말 미스트,,10000,50ml,,
미스트/오일,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014358&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=24,유리아쥬,유리아쥬 오떼르말,300ml+300ml 더블 기획,31500,300ml,,
미스트/오일,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212393&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=25,눅스,눅스 윌 프로디쥬스 멀티 플로럴 오일,핸드 앤 네일 크림 15ml,35000,50ml,,
미스트/오일,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104102&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=26,로벡틴,로벡틴 인텐스 글로우 오일,,39000,30ml,,
미스트/오일,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213956&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=27,연작,연작 스킨 퍼펙팅 글로우 업 프렙 워터,,30000,50ml,,
미스트/오일,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000010507&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=28,아벤느,아벤느 오 떼르말 미스트,150ml +150ml 더블 기획,25000,150ml,,
미스트/오일,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014357&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=29,유리아쥬,유리아쥬 오떼르말,150ml+150ml 더블 기획,24000,150ml,,
미스트/오일,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206576&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=30,원오브뎀,원오브뎀 카밍 샷 듀 드롭 미스트,,26000,150ml,,
미스트/오일,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216076&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=31,아비브,아비브 부활초 미스트 세럼 글로우 스프레이,,25000,100ml,,
미스트/오일,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141328&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=32,디오디너리,디오디너리 100% 오가닉 콜드-프레스드 로즈 힙 씨드 오일,,16600,30ml,,
미스트/오일,2,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016698&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=33,아벤느,아벤느 오 떼르말,,19000,150ml,,
미스트/오일,2,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000189708&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=34,자트인사이트,자트인사이트 울트라 셋팅 진짜 픽서,,14900,50ml,,
미스트/오일,2,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000002326&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=35,유리아쥬,유리아쥬 오떼르말,,8000,50ml,,
미스트/오일,2,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000014960&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=36,에비앙,에비앙 브뤼미자뙤르 페이셜 스프레이,,16000,300ml,,
미스트/오일,2,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000016213&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=37,트릴로지,트릴로지 써티파이드 오가닉 100% 로즈힙 오일,,30000,,,
미스트/오일,2,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000104159&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=38,크리니크,크리니크 모이스춰 써지 페이스 스프레이,,38000,125ml,,
미스트/오일,2,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000107076&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=39,쌍빠,쌍빠 어딕트 글로우 매직에센스,,19000,100ml,,
미스트/오일,2,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000115500&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=40,닥터자르트,닥터자르트 시카페어 페이셜 카밍 미스트,,21000,150ml,,
미스트/오일,2,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000132148&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=41,쏘내추럴,쏘내추럴 리얼 매트 메이크업 세팅 픽서,,19000,75ml,,
미스트/오일,2,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000141314&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=42,디오디너리,디오디너리 100%플랜트-디라이브드 스쿠알란,,15800,,,
미스트/오일,2,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149221&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=43,오우썸,오우썸 리하이드레이팅  미스트 세럼,,18500,120ml,,
미스트/오일,2,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149880&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=44,에스테덤,에스테덤 셀룰러 워터 미스트,,36000,100ml,,
미스트/오일,2,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152280&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=45,마녀공장,마녀공장 비피다 앰플 영양 미스트,,22000,120ml,,
미스트/오일,2,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000152600&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=46,쏘내추럴,쏘내추럴 비건 메이크업 캄 픽서,,22000,100ml,,
미스트/오일,2,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162114&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=47,쏘내추럴,쏘내추럴 올 데이 메이크업 픽서,120ml+120ml,42000,120ml,,
미스트/오일,2,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167994&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=48,에스테덤,에스테덤 씨티 프로텍트 미스트,,69000,100ml,,
미스트/오일,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171312&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=49,달바,달바 화이트 트러플 퍼스트 스프레이 세럼,,29900,100ml,,
미스트/오일,3,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000176828&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=50,시드물,시드물 비 테라피 미스트,,15800,120ml,,
미스트/오일,3,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180891&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=51,코스알엑스,코스알엑스 더 레티놀 0.5 오일,,25000,20ml,,
미스트/오일,3,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181080&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=52,달바,달바 화이트 트러플 바이탈 스프레이 세럼,,58000,100ml,,
미스트/오일,3,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186215&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=53,숨37,숨37 워터풀 하이드레이팅 젤 미스트,,47000,60ml,,
미스트/오일,3,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188471&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=54,록시땅,록시땅 시어 바이 페이스 오일 세럼,,49000,30ml,,
미스트/오일,3,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188781&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=55,닐스야드,닐스야드 레머디스 리쥬버네이팅 프란킨센스 페이셜 오일,,74800,28ml,,
미스트/오일,3,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200724&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=56,아벤느,아벤느 오떼르말 미스트,더블 기획,18000,50ml,,
미스트/오일,3,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204806&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=57,숨37,숨37 워터풀 하이드레이팅 젤 미스트,리필 60ml*2,54000,60ml,,
미스트/오일,3,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000206851&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=58,뉴라덤,뉴라덤 카밍 오로라 미스트,,27000,100ml,,
미스트/오일,3,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207760&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=59,엠도씨,엠도씨 세붐 스트라이크 안티 트러블 미스트,,23000,55g,,
미스트/오일,3,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000208448&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=60,유이크,유이크 바이옴 베리어 크림 미스트,,23000,100ml,,
미스트/오일,3,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211028&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=61,메디큐브,메디큐브 연어 PDRN 핑크 세럼 미스트,,27900,100ml,,
미스트/오일,3,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000212409&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=62,올리세,올리세 퓨어워터 미스트,,9900,300ml,,
미스트/오일,3,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213116&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=63,파이코어,파이코어 디퍼런씨 블루바이옴 리페어 세럼 미스트,,33000,100ml,,
미스트/오일,3,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213555&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=64,프라나롬,프라나롬 캐모마일 하이드롤라,,37000,150ml,,
미스트/오일,3,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213556&dispCatNo=100000100010010&t_page=카테고리관&t_click=미스트/오일_전체__상품상세&t_number=65,프라나롬,프라나롬 로즈 하이드롤라,,37000,150ml,,
