category,page,index,link,brand_name,product_name,gift,price,volume,bottle_type,ingredients
패드,1,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219425&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=24,스킨푸드,스킨푸드 감자 마데카소사이드 수딩 패드,"10매, 감자시트 1매",26000,60매,,
패드,2,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167203&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=25,셀퓨전씨,셀퓨전씨 포스트 알파 쿨링 패드,,23000,70매,,
패드,2,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188191&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=26,토리든,토리든 밸런스풀 시카 토너 패드,60매+60매 리필,38000,60매,,
패드,2,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162249&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=27,아누아,아누아 어성초 77 모공쫀쫀 패드,70+70매 리필,45000,70매,,
패드,2,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000207888&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=28,아누아,아누아 어성초 77 모공쫀쫀 패드,,45000,70매,,
패드,2,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204311&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=29,바이오힐보,바이오힐보 프로바이오덤 콜라겐 리모델링 세럼 패드,세럼13ml증정,28000,13ml,,
패드,2,6,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209924&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=30,브링그린,브링그린 슈퍼레몬글루타치온토너패드,90매,37800,90매,,
패드,2,7,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000110262&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=31,스트라이덱스,스트라이덱스 센시티브 패드,90매+90매 더블 기획,26700,90매,,
패드,2,8,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188794&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=32,이즈앤트리,이즈앤트리 어니언 뉴페어 클리어 패드,20매 리필 증정기획,26000,60매,,
패드,2,9,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165144&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=33,코스알엑스,코스알엑스 원스텝 패드  3종 중 택1,,19000,90매,,
패드,2,10,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218011&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=34,더마토리,더마토리 시카 엑소좀 흔적 진정 거즈 패드,,26000,70매,,
패드,2,11,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000200631&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=35,성분에디터,성분에디터 그린토마토 모공패드,,25000,60매,,
패드,2,12,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000209524&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=36,바이오던스,바이오던스 겔 토너 패드  4종 택1,,26000,60매,,
패드,2,13,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205830&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=37,에스네이처,에스네이처 아쿠아 오아시스 판테알란 카밍패드,,26000,60매,,
패드,2,14,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000165544&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=38,라운드랩,라운드랩 소나무 진정 시카 패드,,25000,50매,,
패드,2,15,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000203518&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=39,피캄,피캄 베리어 사이클 토너패드,60매 리필기획,47900,60매,,
패드,2,16,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000114166&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=40,스트라이덱스,스트라이덱스 센시티브 패드,,13900,90매,,
패드,2,17,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219557&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=41,아비브,아비브 어성초 흔적 에센스 패드 클리어터치,,24000,70매,,
패드,2,18,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182630&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=42,넘버즈인,넘버즈인 토너패드  3종 중 택 1,1번/4번/5번,42000,140매,,
패드,2,19,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211170&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=43,셀리맥스,셀리맥스 시카 지우개 패드,,20000,80매,,
패드,2,20,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000168282&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=44,비건이펙트,비건이펙트 그린 청보리 라하 토너패드,,22000,60매,,
패드,2,21,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167155&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=45,더랩바이블랑두,더랩바이블랑두 그린 플라보노이드 2.5 패드,90매,45000,90매,,
패드,2,22,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000153407&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=46,아이소이,아이소이 아크니닥터 1st 스팟 패드,,23800,60매,,
패드,2,23,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214189&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=47,메디큐브,메디큐브 엑소좀 시카 패드,100매+100매,33000,100매,,
패드,2,24,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214190&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=48,메디큐브,메디큐브 딥 비타 씨 패드,70매+70매,33000,70매,,
패드,3,1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214358&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=49,메디큐브,메디큐브 패드 1,,33000,,,
패드,3,2,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000186812&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=50,빌리프,빌리프 프라블럼 솔루션 비건 토너 패드,,36000,70매,,
패드,3,3,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219175&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=51,아누아,아누아 피디알엔 100 히알루론산 글로우 패드,,24000,60매,,
패드,3,4,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000167143&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=52,더랩바이블랑두,더랩바이블랑두 올리고 히알루론산 7 멀티 포뮬라 패드,10매,28000,60매,,
패드,3,5,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214005&dispCatNo=100000100090004&t_page=카테고리관&t_click=패드_전체__상품상세&t_number=53,아비브,아비브 수분초 히알루론 패드 하이드레이팅 터치  어워즈,리필 75매+수분초스티커 1매,40000,75매,,
